Item,Domain,Recommendation,Location in this manuscript
1,Title,"Identify the study as developing and/or validating a multivariable prediction model, the target population and outcome","Title: 'Cholesterol metabolism in breast cancer...' (predictive model section, 'ER-status classifier')"
2,Abstract,"Provide a structured summary of objectives, data, methods, results and conclusions","Abstract (Purpose/Materials and Methods/Results/Conclusion), with model AUCs reported"
3,Introduction - background and rationale,Explain the medical context and rationale for developing the prediction model,"Introduction (cholesterol/ER biology, unmet clinical need)"
4,Introduction - objectives,"Specify objectives (develop/validate model, intended use)",Section 1: ER-classifier development and cross-platform validation
5,Data source,"Describe data sources, inclusion/exclusion, dates, follow-up","Sections 2.1-2.3: TCGA-BRCA (GDC), METABRIC, GEO GSE21653/GSE7390/GSE20711, platform details"
6,Participants,"Describe eligibility, enrolment, and predictor/outcome definitions",Sections 2.1-2.4 and Supplementary Table S5 (cohort characteristics)
7,Outcome,Clearly define outcome (ER status) and time horizon,Section 2.4: ER IHC status from TCGA clinical annotations; no time horizon (classification task)
8,Predictors,"Define all predictors (11 hub genes), including handling of RNA platforms",Section 2.5: WGCNA + LASSO/SVM-RFE; per-gene inverse-normal transformation for cross-platform transfer
9,Sample size,Report sample size and events per predictor,"Sections 2.1/3.1: TCGA n=952 (122 PFI events); validation cohorts n=1,979/252/198/327; ER events adequate for 11 predictors"
10,Missing data,Describe missing-data handling,Section 2.4: complete-case analysis for ER; per-gene missing probes excluded; documented in cohort tables
11,Development methods,"Describe model type, hyperparameters, feature selection, overfitting control","Section 2.5: LASSO (C=0.316) + SVM-RFE; 5-fold CV; bootstrap stability (selection ≥ 73.7%, mean 90.2%)"
12,Internal validation,Describe resampling/internal validation,Section 3.3: TCGA 5-fold CV AUC 0.946 ± 0.012; calibration/Brier/DCA
13,External validation,"Describe external cohorts, transportability, recalibration",Sections 3.13/3.14: METABRIC AUC 0.922; GSE21653 0.847; GSE7390 0.903; GSE20711 0.833; recalibrated intercept/slope
14,Performance measures,"Report discrimination, calibration, and clinical utility","AUC (95% CI), Brier score, calibration intercept/slope, decision-curve analysis (Sections 3.3, 3.13, 3.14)"
15,Model interpretation,Report final model coefficients and biological interpretation,"hub_genes.csv (coefficients), Figure 5, Section 3.3 (direction of effects, functional enrichment)"
16,Limitations,"Discuss limitations (data sources, generalisability, optimism)","Section 4.5: ER-pathway rediscovery, event sparsity, platform differences, descriptive value"
17,Discussion,Interpret results in clinical context,Section 4.1-4.6
18,Implications,Discuss potential clinical use and future validation needs,Section 4.6 (causal layer) and 4.2 (future directions)
19,Supplementary information,Provide links to supplementary material,"Supplementary Figures S1-S16, Tables S1-S12, flow diagram (Figure S2)"
20,Funding,Declare funding sources and role of funders,Funding statement (no external funding declared)
21,Availability of data and code,State where data/code can be accessed,Data availability: GitHub https://github.com/y0307Yd/brca-cholesterol-signature; Zenodo DOI 10.5281/zenodo.21873168
22,Registration,State study registration (if applicable),Not registered (secondary analysis of public data; no prospective protocol)
